id,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var, valence_mean, valence_std, arousal_mean, arousal_std
1,143.5546875,99666,958.3269231,0.385037184,0.306628853,0.094021246,0.432540576,0.27467613,0.075446976,0.233287009,0.170030893,0.028910505,2.736471415,14.9109211,222.335556,0.831937492,44.23345566,1956.598511,0.011277805,2.147488117,4.611705303,1789.152236,483.3424964,233619.9689,2104.961488,363.95768,132465.1928,21.25856796,6.6037324,43.60928161,21.25856796,6.6037324,43.60928161,1.308245957,1.487693192,2.213231034,-0.004305332,0.073440741,0.005393542,0.067953103,0.026721188,0.000714022,-8.58E-06,0.093085773,0.008664961,-2.04E-05,0.036457956,0.001329183,3.711709751,2.154059451,4.639972119,3.1,0.94,3,0.63
2,95.703125,68006,957.8309859,0.443445295,0.296542794,0.087937631,0.309317766,0.299346768,0.089608488,0.195203887,0.21267058,0.045228776,4.13787365,44.80846405,2007.798462,2.251544714,65.40719604,4278.101563,0.011901791,2.952286005,8.715991974,958.364724,477.5558092,228059.5509,1660.823035,523.2005542,273738.8199,22.89166565,7.011850752,49.16605096,22.89166565,7.011850752,49.16605096,0.833859204,0.947935115,0.898580982,0.025908991,0.116252609,0.013514669,0.02415482,0.016008171,0.000256262,-2.90E-06,0.123137191,0.015162767,-1.99E-05,0.024249168,0.000588022,3.202031746,1.926989048,3.713286791,3.5,1.75,3.3,1.62
3,172.265625,121295,955.0787402,0.349346459,0.29379487,0.086315423,0.477664292,0.270213392,0.073015277,0.259395209,0.126678565,0.016047459,8.989518166,55.52121353,3082.60498,3.597917557,39.98337173,1598.670044,0.010419853,2.606253386,6.792556286,1661.804757,530.3790038,281301.8877,2064.728795,444.8278036,197871.7748,22.02082256,7.800461263,60.84719592,22.02082256,7.800461263,60.84719592,2.10126008,2.381176965,5.67000374,0.007744847,0.073962638,0.005470472,0.066995711,0.033347634,0.001112065,-3.16E-06,0.159553066,0.025457181,-7.41E-06,0.077979364,0.006080781,3.058068027,1.815409948,3.29571328,5.7,1.42,5.5,1.63
4,99.38401442,70975,959.1216216,0.292784303,0.297506094,0.08850988,0.460379896,0.273348058,0.074719161,0.249804842,0.144675065,0.020930874,5.638987541,28.80475044,829.713623,-8.805118561,45.698246,2088.32959,0.006925573,2.796171427,7.818574429,1599.806604,609.0837389,370983.001,2083.374812,451.168871,203553.3502,24.13000161,6.108513966,37.31394287,24.13000161,6.108513966,37.31394287,1.580752503,1.783034541,3.179212174,-0.003143892,0.09086051,0.008255632,0.063791177,0.034745489,0.001207249,-4.34E-07,0.137476787,0.018899865,8.23E-06,0.043613534,0.00190214,4.609160998,2.520049814,6.350651067,4.4,2.01,5.3,1.85
5,117.4538352,85742,963.3932584,0.352041721,0.326311976,0.106479503,0.339988776,0.296385126,0.087844143,0.237523026,0.164061408,0.026916146,17.6677742,126.7990799,16078.00586,4.962343693,46.74245453,2184.856934,0.008484933,3.118622303,9.725805283,1255.913592,503.0915848,253101.1427,2074.011971,465.2898694,216494.6626,19.8061959,7.740482067,59.91506263,19.8061959,7.740482067,59.91506263,1.89776598,2.018403088,4.073951026,0.007300368,0.10063669,0.010127743,0.022700424,0.015200328,0.00023105,-0.000167322,0.246995211,0.061006635,-0.001081592,0.059691872,0.00356312,1.978340136,1.055948979,1.115028246,5.8,1.47,6.4,1.69
6,161.4990234,115307,952.9504132,0.385635644,0.312304795,0.097534291,0.476671622,0.281929661,0.079484334,0.256314721,0.132800968,0.017636097,4.52021265,46.69948578,2180.841797,-0.025885345,79.11095428,6258.543457,0.00677187,5.512752533,30.39043999,1181.15908,1154.443898,1332740.713,1733.167347,1077.507197,1161021.759,21.06862045,7.075347164,50.06053749,21.06862045,7.075347164,50.06053749,0.854551451,1.023046928,1.046625017,0.01265393,0.077698556,0.006037066,0.032511833,0.034107949,0.001163352,5.39E-07,0.122617848,0.015035137,-5.18E-06,0.034642879,0.001200129,2.730666667,1.881939722,3.541697118,3.2,1.4,4.8,1.54
7,95.703125,60668,905.4925373,0.260908037,0.306283861,0.093809806,0.444552384,0.290263034,0.084252629,0.242887766,0.156009187,0.024338866,1.209471107,11.82985306,139.9454193,-4.229002476,71.18729401,5067.631348,0.014394975,4.982855797,24.82884979,1601.338687,848.5397743,720019.7486,1930.130509,837.2353754,700963.0738,23.16468025,6.927434172,47.98934421,23.16468025,6.927434172,47.98934421,0.615472771,0.801679638,0.642690242,0.002328522,0.085801763,0.007361943,0.07575705,0.04497746,0.002022972,-1.46E-06,0.062427808,0.003897231,-1.29E-05,0.030339627,0.000920493,2.327800454,1.387610871,1.925463929,4,1.67,4.7,1.85
8,92.28515625,65963,942.3285714,0.359428585,0.305928588,0.093592301,0.460902446,0.286564557,0.082119245,0.251168428,0.142294602,0.020247754,13.5385046,99.21596527,9843.807617,1.219344497,40.34558487,1627.766357,0.014204076,3.833165407,14.6931572,2082.135899,1052.165664,1107052.585,2423.564165,712.826801,508122.0482,19.80603881,7.46482127,55.72355659,19.80603881,7.46482127,55.72355659,2.308122352,2.726124496,7.431754768,0.026895612,0.085762351,0.007355181,0.073437902,0.063190317,0.003993016,-3.88E-06,0.20533067,0.042160682,8.68E-06,0.082934566,0.006878143,3.366893424,2.016663421,4.066931355,5.5,1.91,5.8,1.89
9,86.1328125,56445,910.4032258,0.27421093,0.302600414,0.09156701,0.362483031,0.295315208,0.087211072,0.217570303,0.189727427,0.035996497,4.551222801,30.47973251,929.0140991,-6.52459383,55.32154846,3060.473633,0.009112878,3.087345839,9.531703949,1533.33313,819.0393942,670825.5292,2030.592885,497.3668359,247373.7694,24.44934097,6.123561485,37.49800526,24.44934097,6.123561485,37.49800526,1.115623872,1.345136472,1.809392127,0.00381013,0.119959801,0.014390354,0.051592285,0.043585469,0.001899693,-1.66E-06,0.129105926,0.01666834,2.17E-06,0.037011147,0.001369825,3.359927438,1.928697852,3.719875403,3.2,1.4,4,1.67
10,107.6660156,71635,930.3246753,0.341939718,0.295518965,0.087331451,0.486553851,0.27240957,0.074206974,0.25392782,0.137309853,0.018853996,11.36834812,75.01031494,5626.547852,1.577372909,36.12761688,1305.204834,0.00907304,3.09121418,9.555604935,1889.124179,635.8582437,404315.7061,2192.629359,443.212435,196437.2626,21.24972254,7.342163775,53.9073689,21.24972254,7.342163775,53.9073689,2.398858664,2.796729263,7.821694573,0.014892465,0.063573995,0.004041653,0.069448637,0.038580787,0.001488477,-0.000212354,0.183781907,0.033775788,0.000296103,0.083412401,0.006957629,2.225632653,1.317704808,1.73634596,4.4,1.8,6,2.05
